,WETH,BAT,DAI,LINK,YFI,WBTC,AAVE,USDC,TUSD,UNI,ENJ,CRV,MKR,REN,SNX,KNC,xSUSHI,MANA,BAL,ZRX,DPI,stETH,ENS,CVX,USDT,GUSD,BUSD,sUSD,renFIL,AMPL,USDP,RAI,UST,FEI,FRAX,LUSD,1INCH
ENS,"0.0, 0, 56","1.0, 1, 1","1.0, 4, 4","1.0, 1, 1","0.0, 0, 1","0.0, 0, 15","0.0, 0, 1","1.0, 2, 2",0.0,"0.86, 6, 7","0.5, 1, 2","1.0, 2, 2","0.0, 0, 1","1.0, 1, 1","1.0, 1, 1",0.0,"1.0, 1, 1","1.0, 2, 2",0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVX,"0.0, 0, 5",0.0,0.0,0.0,0.0,"0.0, 0, 2",0.0,"1.0, 1, 1",0.0,0.0,0.0,"0.67, 4, 6",0.0,0.0,"1.0, 1, 1",0.0,0.0,"1.0, 2, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDT,"0.0, 0, 225",0.0,"0.0, 0, 2","0.0, 0, 9","0.0, 0, 5","0.0, 0, 28","0.0, 0, 6","0.0, 0, 5","0.0, 0, 3","0.0, 0, 1",0.0,0.0,"0.0, 0, 1",0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUSD,"0.0, 0, 48",0.0,0.0,"0.0, 0, 4","0.0, 0, 3","0.0, 0, 20","0.0, 0, 7",0.0,"0.0, 0, 1","0.0, 0, 1","0.0, 0, 1",0.0,"0.0, 0, 1","0.0, 0, 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUSD,"0.0, 0, 17",0.0,0.0,"0.0, 0, 1",0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sUSD,"0.0, 0, 9",0.0,0.0,"0.0, 0, 4",0.0,"0.0, 0, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renFIL,"0.0, 0, 3",0.0,0.0,0.0,0.0,"0.0, 0, 9","0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPL,"0.0, 0, 62",0.0,0.0,"0.0, 0, 4","0.0, 0, 3","0.0, 0, 9","0.0, 0, 3",0.0,0.0,"0.0, 0, 7",0.0,"0.0, 0, 2","0.0, 0, 4",0.0,"0.0, 0, 1",0.0,"0.0, 0, 1","0.0, 0, 2","0.0, 0, 1",0.0,0.0,"0.0, 0, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDP,"0.0, 0, 5",0.0,0.0,"0.0, 0, 2",0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,"0.0, 0, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAI,"0.0, 0, 1",0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,"0.0, 0, 2",0.0,0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UST,"0.0, 0, 2",0.0,"0.0, 0, 3",0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEI,"0.0, 0, 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRAX,"0.0, 0, 2",0.0,0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUSD,"0.0, 0, 3",0.0,0.0,0.0,0.0,"0.0, 0, 4",0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1INCH,"0.0, 0, 9",0.0,0.0,"0.0, 0, 2",0.0,"0.0, 0, 1","0.0, 0, 1",0.0,0.0,"0.0, 0, 2",0.0,"0.0, 0, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
