block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,WBTC_collateral,WETH_collateral,ZRX_collateral,UNI_collateral,AAVE_collateral,MKR_collateral,TUSD_debt,USDC_collateral,USDC_debt,WETH_USD_price,USDT_USD_price,WBTC_USD_price,ZRX_USD_price,UNI_USD_price,AAVE_USD_price,MKR_USD_price,TUSD_USD_price,USDC_USD_price,USDT_debt (in USD),WBTC_collateral (in USD),WETH_collateral (in USD),ZRX_collateral (in USD),UNI_collateral (in USD),AAVE_collateral (in USD),MKR_collateral (in USD),TUSD_debt (in USD),USDC_collateral (in USD),USDC_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11925759,1614248480,0x9d02F545eda2b7C610C97E54b826684A77bbD678,2.4408945103019266e+19,1.876283673211969e+19,1.02,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9527948020.0,11913029.0,5.672952198045301e+18,2.605918316152205e+20,8.806131422885431e+19,4.5599095465715784e+18,1.8056274199337592e+18,1.5548626581748667e+22,15842782404.0,4939108965.0,1601.5682241995,1.0015629004920086,49329.91217878895,1.4496258675618834,24.364621422967183,361.4091329610765,2223.440298314826,1.0016991049076802,1.0025164745590749,9542.83925464829,5876.68674353366,9085.619977792063,377.7606599847543,2145.580583194989,1647.9929556073698,4014.7047692229476,15575.045329481403,15882.650362864624,4951.538107054922,39092.59086322565,30049.963106006086
11930759,1614314986,0x9d02F545eda2b7C610C97E54b826684A77bbD678,2.4872002995085677e+19,1.9788731752869323e+19,0.99,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9533467357.0,11913061.0,5.672983557767584e+18,2.6059188620450103e+20,8.806136397411156e+19,4.559909568553943e+18,1.8056277113494246e+18,1.5558259268920763e+22,15845899532.0,4940516693.0,1520.5100547839115,1.0126999077373993,47714.847163268096,1.3499465334561356,23.12487513544917,336.3788957728881,2041.7588758955496,1.0030609003204842,0.9972970087849764,9654.541512851407,5684.298848616898,8625.828540209417,351.7851134285619,2036.4080461586716,1533.857345494402,3686.656406210655,15605.88154970318,15803.068204770856,4927.162519781143,37818.130636643335,30088.965601659467
11935759,1614381012,0x9d02F545eda2b7C610C97E54b826684A77bbD678,2.1792142917974417e+19,1.7392221825443918e+19,1.0,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9534835628.0,0.0,5.673014106794011e+18,2.6059194079880738e+20,8.806138949146829e+19,4.559909619680965e+18,1.8056300330228122e+18,1.047556482833385e+22,15847799683.0,4940911674.0,1429.4841144301663,0.9959979319711976,46196.64488033257,1.285231543736158,22.643509118531927,318.21082724023233,1974.7160300987807,1.006854987197062,1.0006100974030474,9496.676567173296,0.0,8109.483546600277,334.92098235805275,1994.018875940654,1451.0126122193733,3565.6065706379377,10547.374691114072,15857.468384430613,4943.926111380994,31151.52212063628,24861.90481411771
11940759,1614447957,0x9d02F545eda2b7C610C97E54b826684A77bbD678,2.1612297269043737e+19,1.6890894599014087e+19,1.02,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9535610459.0,0.0,5.673066633561176e+18,2.6059199967966573e+20,8.80614150157841e+19,4.5599098061193405e+18,1.8056473476665784e+18,1.0477836539635136e+22,15849776407.0,4941318156.0,1487.8370535941506,1.004571607573825,47177.46598284656,1.3752880988456866,23.6516858734979,339.73705056855925,2041.9247782099976,1.0027729396487568,1.0025639957567292,9579.203527995407,0.0,8440.598744920948,358.38907581384325,2082.8009255290567,1549.1703083896355,3686.9960599095484,10506.890948009084,15890.415166452653,4953.987674784633,32155.57669017494,25130.89885276647
11945759,1614514918,0x9d02F545eda2b7C610C97E54b826684A77bbD678,1.376561858688821e+19,1.0443313333543811e+19,1.04,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,6605900387.0,0.0,1.0920558573768247e+19,2.6059206313709922e+20,8.806155015205549e+19,4.5599098534621834e+18,9.028325619249034e+16,5.240401818115614e+21,0.0,2470953963.0,1378.4766640065395,1.0062535544200673,45055.9366142007,1.2510012110750666,22.18510612522685,319.0930561280844,1885.562722216264,0.9996416045957504,1.0040190060448455,6647.2107445636475,0.0,15053.735151856066,326.00098658106134,1953.6548356753376,1455.0355708098139,170.23474231686046,5238.523682187581,0.0,2480.884741913832,18975.583987640075,14395.863725198486
11950759,1614580759,0x9d02F545eda2b7C610C97E54b826684A77bbD678,1.387010334726615e+19,9.943274593879308e+18,1.1,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,6606952492.0,0.0,1.0920622113902565e+19,2.605921109414612e+20,8.806166435112255e+19,4.5599098534621834e+18,9.028410472058578e+16,5.240831713115015e+21,0.0,2471138690.0,1434.85052229308,1.0039812277849602,46276.94646640211,1.2359148783567533,22.583425765504256,364.856010113817,2138.4154367422248,0.997936905617787,1.002065590569062,6633.256274835063,0.0,15669.460343898456,322.06966709494554,1988.7340596603287,1663.7105156128923,193.06492322695217,5230.019382649564,0.0,2476.2430507729086,19901.525032083835,14267.11274433124
11955759,1614647346,0x9d02F545eda2b7C610C97E54b826684A77bbD678,9.609551754112223e+18,7.430507876644366e+18,1.06,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,6608645178.0,0.0,9.161141737623973e+18,2.6059214504229496e+20,3.1773622780542193e+18,1.967938694585042e+17,9.028496201909267e+16,3.6421469904794367e+21,0.0,1340724377.0,1554.0622277844886,0.9969788155583478,49160.7122504532,1.3234481867834682,25.10007440444972,380.8369903216903,2178.099705839222,1.0008551901772675,0.9955107542222984,6588.679242007826,0.0,14236.984337821374,344.88020184623986,79.75202958905277,74.94638495833634,196.64964921549108,3645.2617188098593,0.0,1334.7055357514912,14933.841407005983,11547.471624348134
11960759,1614713671,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.860776474989457e+18,5.595732386094727e+18,1.0,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3304616363.0,0.0,6.399720412269454e+18,2.605922956344369e+20,3.177364467412818e+18,1.967938694585042e+17,9.028580614340627e+16,3.6430818227765295e+21,0.0,1340864329.0,1500.1853024902252,1.0036918354390514,47791.74872132654,1.336134407478537,25.266172758345217,394.35120773073584,2127.9772145928832,1.0042351458753995,1.003080059542928,3316.8164628013924,0.0,9600.76650253332,348.18633252099016,80.2798395498798,77.60590009496589,192.1261382743187,3658.5108057320044,0.0,1344.994270972308,10292.436031449879,8394.635482287867
11965759,1614780622,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.861496619458107e+18,5.147935344656079e+18,1.08,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3305236624.0,0.0,6.399749968789939e+18,2.605923301492852e+20,3.177365301889493e+18,1.9679386955107126e+17,9.028661333882867e+16,3.6443808168089485e+21,0.0,1341131063.0,1609.9077574289468,1.000745419868861,51466.77518200171,1.4264129937329144,26.34712197217705,402.5975363162775,2295.5005685560227,0.9980051181279094,0.9932907620459236,3307.7004130508167,0.0,10303.007120360582,371.7122857920779,83.71443115904562,79.22872704340818,207.252972252279,3637.1107075825016,0.0,1332.1330955707297,11046.3766352381,8287.701046104481
11970759,1614846925,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.871510903320022e+18,5.242883835522743e+18,1.07,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3306641673.0,0.0,6.399782101633934e+18,2.6059236393931804e+20,3.177365855254712e+18,1.9679387880658803e+17,9.02874102781359e+16,3.645335721435945e+21,0.0,1341471770.0,1567.4087736508948,1.004218182615721,50368.38788483472,1.4386141056315398,28.21511141504713,390.40772085616334,2184.5715790666463,1.0029935278863849,0.9989072880846488,3320.5896914214673,0.0,10031.074615554991,374.89185058297073,89.6497316123782,76.82984970332406,197.2393104411455,3656.248135573298,0.0,1340.0059278128138,10770.466478101587,8217.742123030803
