block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,DAI_debt,LINK_collateral,USDC_collateral,USDC_debt,GUSD_debt,WETH_USD_price,USDT_USD_price,DAI_USD_price,LINK_USD_price,USDC_USD_price,GUSD_USD_price,USDT_debt (in USD),DAI_debt (in USD),LINK_collateral (in USD),USDC_collateral (in USD),USDC_debt (in USD),GUSD_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11845440,1613180838,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.0402883808806793e+19,1.568188434233167e+19,1.45,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4610398641.0,0.0,1.771729825116801e+21,0.0,18220008530.0,626067.0,1850.037820791984,1.0023090810309403,1.00266618847109,31.189123575848857,0.996584834095655,1.0249891875833508,4621.0444250470055,0.0,55258.700458584986,0.0,18157.784178091468,6417.119057027457,56246.48490743682,29012.07913459922
11850440,1613248337,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.096574598577195e+19,1.7848417301804765e+19,1.3,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4611848548.0,2.9010610001423856e+21,1.7717310392124351e+21,0.0,18223937810.0,626118.0,1795.549869219979,1.0000902142415324,0.9982706788603972,31.2948166084006,0.9971560892747728,1.012394763036401,4612.264602418821,2896.0441340275624,55445.99795156417,0.0,18172.110557806267,6338.785842428253,55600.54115505191,32047.723352039156
11855440,1613313901,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.2667931848982704e+19,1.7655072534243731e+19,1.39,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4613138058.0,2.90239962738562e+21,1.7717316254396714e+21,0.0,18227980349.0,626301.0,1820.4791169823272,0.9978360847201352,0.9993752138430062,33.12139741539072,0.9964431786342068,1.0281537028183507,4603.155618068167,2900.5862482763655,58682.22727960353,0.0,18163.14667903942,6439.336922288359,59471.28772607488,32140.690857398968
11860440,1613379818,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.2391618530745164e+19,1.826047001574111e+19,1.33,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4614414329.0,2.903746470652379e+21,1.7717319509537897e+21,0.0,18232168830.0,626425.0,1760.3896715846815,0.999775874126088,0.999562594088316,32.15927190575108,0.9986752534555134,0.9967263598357456,4613.380119355921,2902.476354780084,56977.60955482977,0.0,18208.01582734396,6243.74309960107,57021.87070743476,32145.542813992415
11865440,1613446957,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.21860939988184e+19,1.9033520396170404e+19,1.27,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4616382992.0,2.9051168263886665e+21,1.7717321824225012e+21,0.0,20743025423.0,626878.0,1826.43817120504,0.9997719860773558,1.0005081445195052,32.71631740946332,1.0038369622465475,1.0168151126374534,4615.330392405566,2906.5930455825182,57964.55244469572,0.0,20822.615628427226,6374.190241799415,58785.91066143539,34763.5481839753
11870440,1613513265,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.4100676187028648e+19,1.982246168035381e+19,1.3,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4618423906.0,2.906472127137007e+21,1.771732372505208e+21,3855663171.0,20754216631.0,627499.0,1741.2338848380766,0.9997620251220146,1.000886931042318,31.548898518749727,1.0016012408343196,0.9911481518124624,4617.324837134485,2909.049967490197,55896.2048225505,3861.8370163127875,20787.44913015387,6219.444741141683,59377.25287274518,34515.54195873637
11875440,1613579256,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.3250717872730923e+19,1.9068663536508244e+19,1.32,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4619849571.0,2.9078219033940313e+21,1.7717325579636394e+21,3856647277.0,20763117954.0,627789.0,1813.552965066956,0.9995738885725706,1.0020944493405994,31.87509367224733,1.0018186802337097,1.006835716287532,4617.881000304792,2913.9121890621755,56474.14124726138,3863.66128517107,20800.879426213123,6320.803874924335,60301.937988695994,34582.03129649867
11880440,1613646118,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.2415835221529977e+19,1.8096080188726964e+19,1.35,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4622764313.0,2.90919119468706e+21,1.771732742210723e+21,3857988926.0,20776435173.0,627962.0,1922.4674375866643,0.9997449079324858,1.0010338499562383,32.681016784174446,0.9999157334623268,1.0269602866996703,4621.585082493766,2912.1988618763758,57902.027485260056,3857.663826630824,20774.68441474278,6448.920355564984,62318.38767556627,34789.12491078473
11885440,1613712798,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.1566972582990987e+19,1.8123069065315586e+19,1.32,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4624072210.0,2.910555234377602e+21,1.7717330424707458e+21,3859127854.0,20786886096.0,628223.0,1910.718369607676,1.0039906773141176,1.0035150697055928,31.801499027576742,1.0018990920113633,1.0183706277017264,4642.525390067289,2920.786038908417,56343.76662725901,3866.4566928783606,20826.36230532603,6397.638508466616,60315.59438722275,34628.08097676711
11890440,1613778351,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.3282563366693396e+19,1.7666703371093121e+19,1.42,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4626170096.0,2.9118974026962494e+21,1.7717335785371308e+21,3859970981.0,20793446279.0,628264.0,1956.7589054262928,1.0063494201161378,1.004720609265502,34.90034448560798,1.0071433668095024,1.012556116768245,4655.543593468217,2925.6433325556086,61834.112227664846,3887.5441695913178,20941.98149300458,6361.525561452848,65125.9522631922,34569.479150911175
11895440,1613845953,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.390935633556296e+19,1.7243178082085851e+19,1.49,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4628522532.0,2.913281871910892e+21,1.771734130607629e+21,3860718891.0,20798638515.0,628311.0,2004.20995448291,1.003070008823815,1.0041513838453089,36.04983042882458,1.0012003741137392,1.0191083110800274,4642.732137014466,2925.3760232107743,63870.71497336596,3865.35319801718,20823.604662274425,6403.169620430031,67961.46951784342,34558.949159038
11900440,1613912806,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.3035289401666798e+19,1.9910136810666316e+19,1.25,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4630534475.0,2.914652299109656e+21,1.7717346661430964e+21,3861565933.0,25021281510.0,628392.0,1947.933594608788,1.0016620218414225,1.0012454857207105,34.12497728028917,1.0006856141393183,1.0223558523807807,4638.23052443491,2918.282456929033,60460.405228833886,3864.2134772035747,25038.43645438712,6424.4023878926355,64350.5500331304,38783.62436675399
